Address  Ordinal Name                                                     Library                                                                     
00598990         _kABPersonOrganizationProperty                           /System/Library/Frameworks/AddressBook.framework/AddressBook                
0059898C         _kABPersonLastNameProperty                               /System/Library/Frameworks/AddressBook.framework/AddressBook                
00598988         _kABPersonFirstNameProperty                              /System/Library/Frameworks/AddressBook.framework/AddressBook                
00598984         _kABPersonEmailProperty                                  /System/Library/Frameworks/AddressBook.framework/AddressBook                
00598A98         _ivar_getOffset                                          /usr/lib/libobjc.A.dylib                                                    
00598A94         _ivar_getName                                            /usr/lib/libobjc.A.dylib                                                    
00598A5C         _inflateInit2_                                           /usr/lib/libz.1.dylib                                                       
00598A58         _inflateEnd                                              /usr/lib/libz.1.dylib                                                       
00598A54         _inflate                                                 /usr/lib/libz.1.dylib                                                       
005981E4         _inet_ntop                                               /usr/lib/libSystem.B.dylib                                                  
005981E0         _inet_ntoa                                               /usr/lib/libSystem.B.dylib                                                  
005981DC         _inet_aton                                               /usr/lib/libSystem.B.dylib                                                  
005981D8         _inet_addr                                               /usr/lib/libSystem.B.dylib                                                  
005981D4         _if_nametoindex                                          /usr/lib/libSystem.B.dylib                                                  
005981D0         _gmtime_r                                                /usr/lib/libSystem.B.dylib                                                  
005981CC         _gettimeofday                                            /usr/lib/libSystem.B.dylib                                                  
005981C8         _getsockopt                                              /usr/lib/libSystem.B.dylib                                                  
005981C4         _getsockname                                             /usr/lib/libSystem.B.dylib                                                  
005981C0         _getifaddrs                                              /usr/lib/libSystem.B.dylib                                                  
005981BC         _gethostbyname                                           /usr/lib/libSystem.B.dylib                                                  
005981B8         _getenv                                                  /usr/lib/libSystem.B.dylib                                                  
005981B4         _getaddrinfo                                             /usr/lib/libSystem.B.dylib                                                  
005981B0         _gai_strerror                                            /usr/lib/libSystem.B.dylib                                                  
005981AC         _freeifaddrs                                             /usr/lib/libSystem.B.dylib                                                  
005981A8         _freeaddrinfo                                            /usr/lib/libSystem.B.dylib                                                  
005981A4         _free                                                    /usr/lib/libSystem.B.dylib                                                  
005981A0         _fprintf                                                 /usr/lib/libSystem.B.dylib                                                  
0059819C         _fopen                                                   /usr/lib/libSystem.B.dylib                                                  
00598198         _fmax                                                    /usr/lib/libSystem.B.dylib                                                  
00598194         _floorf                                                  /usr/lib/libSystem.B.dylib                                                  
00598190         _floor                                                   /usr/lib/libSystem.B.dylib                                                  
0059818C         _fgets                                                   /usr/lib/libSystem.B.dylib                                                  
00598188         _fcntl                                                   /usr/lib/libSystem.B.dylib                                                  
00598184         _fclose                                                  /usr/lib/libSystem.B.dylib                                                  
00598180         _fabsl                                                   /usr/lib/libSystem.B.dylib                                                  
0059817C         _fabsf                                                   /usr/lib/libSystem.B.dylib                                                  
00598178         _fabs                                                    /usr/lib/libSystem.B.dylib                                                  
00598174         _exit                                                    /usr/lib/libSystem.B.dylib                                                  
00598170         _dispatch_queue_create                                   /usr/lib/libSystem.B.dylib                                                  
0059816C         _dispatch_once                                           /usr/lib/libSystem.B.dylib                                                  
00598168         _dispatch_get_global_queue                               /usr/lib/libSystem.B.dylib                                                  
00598164         _dispatch_async                                          /usr/lib/libSystem.B.dylib                                                  
00598A50         _deflateInit2_                                           /usr/lib/libz.1.dylib                                                       
00598A4C         _deflateEnd                                              /usr/lib/libz.1.dylib                                                       
00598A48         _deflate                                                 /usr/lib/libz.1.dylib                                                       
00598160         _connect                                                 /usr/lib/libSystem.B.dylib                                                  
0059815C         _close                                                   /usr/lib/libSystem.B.dylib                                                  
00598158         _clock                                                   /usr/lib/libSystem.B.dylib                                                  
00598A90         _class_respondsToSelector                                /usr/lib/libobjc.A.dylib                                                    
00598A8C         _class_getSuperclass                                     /usr/lib/libobjc.A.dylib                                                    
00598A88         _class_getIvarLayout                                     /usr/lib/libobjc.A.dylib                                                    
00598A84         _class_getInstanceVariable                               /usr/lib/libobjc.A.dylib                                                    
00598A80         _class_getInstanceSize                                   /usr/lib/libobjc.A.dylib                                                    
00598A7C         _class_getInstanceMethod                                 /usr/lib/libobjc.A.dylib                                                    
00598A78         _class_createInstance                                    /usr/lib/libobjc.A.dylib                                                    
00598A74         _class_copyMethodList                                    /usr/lib/libobjc.A.dylib                                                    
00598A70         _class_addMethod                                         /usr/lib/libobjc.A.dylib                                                    
00598154         _ceilf                                                   /usr/lib/libSystem.B.dylib                                                  
00598150         _ceil                                                    /usr/lib/libSystem.B.dylib                                                  
0059814C         _calloc                                                  /usr/lib/libSystem.B.dylib                                                  
00598148         _bzero                                                   /usr/lib/libSystem.B.dylib                                                  
00598144         _bind                                                    /usr/lib/libSystem.B.dylib                                                  
00598140         _atoi                                                    /usr/lib/libSystem.B.dylib                                                  
0059813C         _atof                                                    /usr/lib/libSystem.B.dylib                                                  
